Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.16443587,47.33990747,47.65336814,47.89042785,48.05188455,48.17181202,48.30664155,48.4399215,48.57550923,48.71317422,48.83785988,48.9576975,49.08328692,49.19921279,49.31673223,49.4430055,49.58180487,49.75201827,49.86599099,50.01318283,50.16680926,50.31755472,50.43641794,50.56247249,50.68440625,50.77347907,50.94096481,51.08622069,51.94557071,52.74004276,52.75563477,52.02996679,52.03445696
American Samoa,ASM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.60822128,41.78881869,41.89326817,42.30738273,42.71919672,42.91009521,43.04488406,43.19957076,43.37924349,43.84834102,44.1810187,44.28991069,44.66387956,44.55610009,44.9025134,45.05960607,45.15637905,45.25791821,45.41552825,45.33340283,45.51376139,45.63848404,45.74610647,45.93372801,46.12321034,46.43975643,46.6423085,46.83105023,46.94933852,46.99239369,47.16996151,47.02760077,46.99914522
Austria,AUT,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1135239,41.70000167,41.97534483,43.19609855,43.55493745,43.47594484,43.65294343,43.87022126,43.88254265,43.94851094,44.19605948,44.68806149,44.65065206,45.33189935,45.68063459,45.84500346,45.89238431,46.12717268,46.48358423,46.59074028,46.79141027,46.94538146,47.00181992,47.12035538,47.0000049,46.96427388,46.95287396,46.80669379,46.87911843,47.04018419,46.92957658,47.01765063,47.00576808
Azerbaijan,AZE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.99352161,49.00829872,49.13157176,49.33996664,49.55422065,49.64527735,49.72562,49.81583524,49.89719771,49.86262153,49.89293266,50.21612952,49.88429365,49.77736316,49.70503166,49.4202992,47.62554983,48.27231495,49.56315966,51.17495185,49.61307673,50.04683099,49.91572349,49.95279575,50.03532756,49.95306716,49.82813242,49.87672413,49.83002602,49.7654978,49.94715173,49.76755316,49.73727064
Burundi,BDI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.89491252,51.87680014,52.0802407,52.13682709,51.97753095,52.06044361,52.13488303,52.12570522,52.06169976,52.01086291,51.94478152,51.84460614,51.69987937,51.50500849,51.27783033,51.01235323,51.21702652,51.38610104,51.50200657,51.60259579,51.71240991,51.79936895,51.86581849,51.92185902,51.70924035,51.53685242,51.3645486,51.1957681,51.0458685,50.89466442,51.09549212,50.81297634,50.82402743
Belgium,BEL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79494745,40.44514282,41.07166949,41.2027127,41.41504598,41.53000228,41.88606452,42.27246899,42.89759581,43.04870911,42.42142119,42.874171,43.10862803,43.81893777,44.15558114,44.41907694,44.69517286,44.96479536,45.15563516,45.36051108,45.42089247,45.41373513,45.75804355,46.06531609,46.12795382,46.03485921,46.2910979,46.70107394,46.77515519,46.74896675,46.80343758,46.98633479,46.85001136
Benin,BEN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.94050634,40.93123661,41.42135473,41.94303411,42.51490526,43.06939943,43.62241299,44.19582483,44.79474161,45.41392334,46.05131927,46.70266314,46.97105634,47.23826487,47.54499268,47.84811625,48.10820343,48.37510545,48.65121693,48.93021752,49.21285682,48.73590339,48.22652633,47.68882851,47.12447383,46.53238393,45.91318147,45.26349582,45.30848995,45.27268918,45.15064182,45.48276005,45.50679369
Burkina Faso,BFA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.28779953,49.08282332,48.84371291,48.57080666,48.26844995,47.95578041,47.61583113,47.19547916,46.7091356,46.20144408,45.66710304,45.10360926,44.52206564,43.92672321,43.32934528,42.74295984,42.89225988,43.1065941,43.3586224,43.63987257,43.94674637,44.26812801,44.62470589,45.01563835,45.02343052,45.02297897,45.02663693,45.05129532,45.0950715,45.06173222,45.19708277,45.06986391,45.02294378
Bangladesh,BGD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.53414723,21.66511764,21.83124701,22.01793893,22.2280472,22.4455062,22.69044413,22.95911759,23.2269556,23.48924808,23.71092175,23.94916178,24.19366118,24.4351271,24.68294073,24.90763008,25.44261755,26.00326051,26.56177793,27.06945201,27.56270867,28.05482959,28.55936995,29.07011068,29.58656772,30.09695822,31.72092922,31.88519027,32.02799835,32.05699286,32.77770739,32.36792411,32.42968714
Bulgaria,BGR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.80331603,48.83916739,48.59990858,48.35602266,48.09968889,47.82503619,47.52674221,47.21676605,46.88376057,46.52317201,47.27297067,47.37274614,46.88945986,46.97899627,46.6806362,47.17915115,47.08747353,46.83041864,46.70055987,46.61839337,46.81397461,46.90540395,46.88294273,46.72066704,46.72029029,46.48075032,46.52154476,46.25368811,46.18112176,46.0207183,46.12722107,46.47256204,46.43964948
Bahrain,BHR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.74679383,17.16102402,17.5689356,17.97397116,18.37626367,18.78088022,19.18769568,19.59204156,19.98666885,20.36494326,20.73184138,21.05537893,21.26446121,21.25671718,21.17403189,21.11836531,21.08452402,21.07849722,21.11449966,21.30348173,20.91832788,20.75473857,20.91416997,21.46544898,21.54641643,21.20170732,20.9112684,21.00048919,21.23210336,21.21823061,21.39712744,21.52568996,21.78075321
"Bahamas, The",BHS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.29643165,46.3454396,46.38460479,46.41730147,46.58896822,46.72996995,47.04512827,46.73713123,47.33958657,47.53152795,47.66561568,47.77331117,47.63312139,47.58532678,47.67623464,47.73721558,47.74357419,47.56132756,47.28414239,47.34504163,47.40784546,47.59965457,47.46709455,47.52583548,47.53187154,47.60816305,47.76764261,47.91647839,47.96348374,47.97394949,48.25115997,47.8713054,48.01775026
Bosnia and Herzegovina,BIH,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.50013623,35.60192102,35.90721995,36.1190907,36.14094136,36.12445218,36.08884843,36.06920159,36.05353333,36.02118387,35.9898541,36.22183095,36.44305452,36.65290133,36.85967777,37.06356573,36.52094091,37.31957656,37.82795533,38.50055557,38.78344991,38.55842867,38.71769204,39.54807665,39.35668088,38.76200797,39.31580408,38.85127746,40.19588812,39.34055987,40.61405437,41.04091512,41.44996814
Belarus,BLR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.77710167,48.66030112,48.58690136,48.52691769,48.51456911,48.59867084,48.75088137,48.90809577,49.03792569,49.21958581,49.36084495,49.47027316,49.55376704,49.61755809,49.68232686,49.74392458,49.79214538,49.82854682,49.85066401,49.88955913,49.94855095,50.00164435,50.04359143,50.09815357,50.15165704,50.20794658,50.0811376,49.79222463,50.16327421,50.11093068,50.34757693,50.27792992,50.31097318
Belize,BLZ,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.42493113,30.02204188,30.29820944,30.20329444,30.86453165,31.53734611,32.23742336,33.17370036,32.92574613,33.25270099,33.56174304,33.8706574,34.19607763,34.53079251,34.85966524,35.19132049,35.52799594,35.86618475,36.20792735,36.49080021,36.71508413,36.94352303,37.1680741,37.33624599,37.76471263,38.19534998,37.99565812,38.29014573,38.50183102,38.53493222,39.12786242,39.41145957,39.51037545
Bermuda,BMU,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.79557404,41.74979029,41.81839414,41.87175765,41.93631269,41.98474651,42.07756044,42.24595924,42.42155653,41.77182079,41.94341505,42.14891352,42.35944118,42.57199818,42.78509184,43.42054866,42.72113202,43.03418049,43.27402297,43.08101448,42.88821819,41.94374264,42.36548259,42.83094041,40.69991649,42.28510478,43.11733696,44.33171007,43.03172571,42.68323163,42.46103463,42.08654017,42.44191961
Brazil,BRA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9841454,35.70044595,36.42144192,37.14718388,37.87947745,37.94990047,38.2637302,38.79551964,39.46689963,40.19386939,40.9228979,41.60429313,41.81093823,42.21147137,42.71401794,42.71889685,42.81677694,42.681409,42.95109417,42.60094224,42.24158863,42.09480461,42.1239446,42.21714081,42.55596851,42.72014016,43.23232983,43.43548589,43.75823979,42.73408529,43.14049924,43.53923945,43.49004191
Barbados,BRB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.04259721,47.20609111,47.41369654,47.61901261,48.37397785,48.25007896,48.51625399,48.27067344,47.86239097,48.12955466,48.4051897,48.43408798,48.76999993,48.90415041,49.02902808,48.94460369,48.39574198,49.00734294,49.1969054,49.34636119,49.45852975,48.8894943,49.2255485,50.04393612,50.28563119,49.9673807,49.63767623,49.37037367,49.97323099,49.85122843,50.17778619,49.51311995,49.60610486
Brunei Darussalam,BRN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.15514655,32.83872683,33.5415814,34.22913605,34.89632571,35.55533517,36.21109129,36.86015324,37.49759873,38.12119969,38.7274677,38.91663775,39.10466818,39.29260073,39.47990679,39.67075299,39.86518887,40.06708689,40.27367772,40.48067957,40.66858679,41.04984046,41.44061075,41.85215096,42.28047682,42.72406493,43.19282042,42.26180374,41.28574593,41.3715705,41.7003057,41.39879446,41.66322795
Bhutan,BTN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.24541997,38.40916387,38.58880869,38.76041177,38.92997394,39.33087732,39.78913992,40.27722301,40.54826236,40.61078161,40.76113127,40.95029048,41.1764295,41.42800192,41.79963565,42.20124005,42.63472353,43.01967269,43.36414244,42.8385205,42.65213123,45.16138747,41.14031017,39.79714033,40.25158702,40.34118406,40.46074678,40.60689153,42.49065531,43.27539523,43.83604589,43.37633429,43.41987633
Botswana,BWA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0474983,42.24423149,42.37259775,42.52919855,42.73099908,42.88687376,43.07768098,43.29461994,43.86286869,44.4482126,44.75800132,45.0733126,45.39343228,45.71207254,46.0301395,46.33657391,46.28681533,46.2440793,46.21834819,46.00955513,46.1219073,46.24930716,46.38402238,46.52290447,46.64872976,46.76091697,46.86653874,46.96238553,47.05980796,46.94872337,47.3343425,47.50892647,47.49294874
Central African Republic,CAF,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.27477815,44.32204074,44.37574405,44.44614115,44.55628643,44.61445656,44.66469125,44.72220537,44.7845884,44.85333973,44.86708711,44.90161703,44.91316969,44.93104373,44.95381797,44.90425476,44.86705173,44.84366503,44.84473519,44.87652226,44.77948924,44.70649515,44.67130724,44.68073613,44.69641141,44.80160599,44.93438974,45.08551064,45.23437405,45.25464772,45.40443391,45.29222308,45.35013029
Canada,CAN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.63030859,44.79851887,44.94078949,44.97039296,45.18597268,45.28101585,45.38365102,45.66361439,45.78036415,45.96725065,46.1057453,46.31012777,46.56101077,46.67247038,46.65246315,46.8996753,47.07876438,47.03166632,47.26387946,47.37188465,47.31138969,47.3994143,47.43321904,47.26862645,47.10507991,47.23436166,47.33944453,47.42560844,47.29842364,47.01481623,47.11885952,47.41897341,47.43018763
Central Europe and the Baltics,CEB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.02050014,46.00063894,45.9687895,45.93662705,45.79832576,45.61818112,45.75798651,45.82098027,45.99153403,46.1390711,46.18021871,45.89222986,45.78277532,45.62124621,45.44917009,45.38160903,45.20708672,45.10699265,45.16960071,45.15967484,45.19309616,45.2539924,45.21368531,45.23497562,45.15336864,45.09462186,45.12559172,45.09225243,44.96008789,44.81392086,45.20881866,45.54353792,45.47485616
Switzerland,CHE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.36897019,41.68395136,41.99033161,42.04681422,42.00497668,43.62083271,43.68821969,44.23052885,44.33532391,44.20318654,44.80889622,45.18602919,45.19225489,45.2751732,45.61586804,45.64189458,45.52351996,46.08168616,46.19048247,45.77995989,45.83204642,45.96130466,46.12574751,46.39744708,46.47542609,46.53714763,46.40806099,46.59205363,46.80712516,46.69103037,46.79759109,46.72342606,46.73945856
Channel Islands,CHI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.65808596,41.82877949,41.67022043,41.62442515,41.82471726,42.3471309,42.67149155,42.75878746,43.1686067,43.17993976,43.76792411,44.90844278,45.26944827,45.29355583,44.89777111,44.61100619,44.15458937,44.35701612,44.95055022,45.00434295,44.20558625,44.41919446,44.45275679,44.45559023,44.44826063,44.6390613,44.71303467,44.69766719,44.74572657,44.62080709,44.74012817,44.48337479,44.54944978
Chile,CHL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.50158706,31.24826507,31.65796329,31.95673119,32.55340077,33.00108023,33.6726655,33.9222558,34.19981217,34.29450428,33.95717897,34.00947627,34.93648614,36.00459179,36.61725745,36.90969553,37.43462162,38.34712498,38.85307862,39.36260968,40.19525968,40.58118636,40.67043594,41.0644961,41.02370585,40.98094435,41.22028023,41.72405286,42.03075985,40.8664197,41.0242457,42.15847862,42.77883058
China,CHN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.61368168,45.59272473,45.57424468,45.55552111,45.53513555,45.51442222,45.49175997,45.47147402,45.44962602,45.42342813,45.32514979,45.22581475,45.12201803,45.0141362,44.90069569,44.7875867,44.67731308,44.56660576,44.45460592,44.34107411,44.40124844,44.46305204,44.5344523,44.61258703,44.69396625,44.78101433,44.88366167,44.99400302,45.09495539,45.04945494,45.36750267,45.18147124,45.12612436
Cote d'Ivoire,CIV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.68932498,35.84418815,36.0242176,36.21300171,36.40274908,36.49076514,36.57369811,36.65690306,36.99055634,37.31245064,37.6195003,37.88789803,38.13897071,38.39959595,38.65533865,38.90871172,39.16282815,39.41997864,39.68282599,39.95113232,40.25592582,40.59515455,40.93176793,41.26358469,41.59363055,41.9194913,42.24500027,42.57499829,42.90673022,42.92703933,43.50216969,43.23680839,43.31439916
Cameroon,CMR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1411563,48.10132611,48.07999896,48.07810786,48.09853388,48.10447206,48.13044939,48.17361415,48.22903146,48.28947989,48.31611906,48.3409417,48.36588268,48.39440715,48.42466216,48.41855328,48.42149317,47.93742858,47.39574571,46.79258303,46.81569062,46.8515454,46.90254329,46.96885528,47.00312403,47.0349386,47.07940621,47.14065495,47.21303323,47.21092984,47.50409549,47.19717748,47.21520292
"Congo, Dem. Rep.",COD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.38991299,50.31048454,50.24893282,50.18813586,50.18233893,50.15487267,50.16693975,50.21266868,50.28587009,50.32115987,50.26773461,50.2257545,50.1923641,50.15786913,50.12465518,49.8749972,49.611929,49.33782624,49.05463336,48.75897479,48.44762262,48.12386092,48.08614023,48.07037814,48.0765616,48.06540203,48.08284383,48.12675347,48.19474065,48.19789531,48.30830557,48.41086285,48.42915636
"Congo, Rep.",COG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.77147561,49.8095932,49.83818576,49.86040249,49.87866555,49.88596469,50.01485377,50.15724161,50.18223767,50.15893656,50.09272539,50.06292743,50.029641,49.98071389,49.9213575,49.88357718,49.84474307,49.81013618,49.78173305,49.77617545,49.65870502,49.57446605,49.52014106,49.48996997,49.47594009,49.50299915,49.55798028,49.63316677,49.73275819,49.66053151,49.90334834,49.66216627,49.69235289
Colombia,COL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.83024985,39.06341477,39.3858272,39.7350705,40.04295212,40.13284682,40.3256716,40.3283807,39.99260161,40.15804751,40.24770108,40.09643579,40.64276819,40.5310473,39.96534287,39.95977074,39.96237092,40.11444885,41.15708719,41.45941374,41.60028112,42.06426555,42.03274435,41.98569274,42.1660219,42.13286147,42.09440032,41.7200857,41.62988496,41.19373401,41.08439226,41.26399402,41.57952513
Comoros,COM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.62257215,37.69600994,37.77853764,37.89979818,38.06082889,38.23194491,38.42991726,38.65842895,38.9703188,39.3878641,39.81310381,40.28572799,40.65323795,40.79414662,40.33608508,39.88736654,39.45068325,39.03867316,38.65870742,38.30853334,37.98266028,37.6749576,37.38254045,37.0990751,37.18178834,37.24116565,37.2998761,37.3771666,37.49461842,37.46108293,37.64254115,37.36323301,37.39341486
Cabo Verde,CPV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.91859738,37.13793019,37.34763684,37.56182339,37.78762899,38.02497651,38.27419198,38.53756135,38.81139336,39.01039077,39.13244876,39.26691363,39.41436793,39.58144274,39.76576538,39.96693205,40.19637501,40.45175154,40.7316205,41.13609151,41.64094566,42.12062301,42.59651986,43.09247983,43.59816351,44.11162412,44.63098577,44.42619514,44.56429947,44.41951911,44.94834053,44.47594543,44.68224019
Costa Rica,CRI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.39925891,29.17911537,29.5234879,30.26417979,30.50656003,30.27258664,31.76257766,32.86983127,33.27735879,32.63691448,34.33201721,34.24753115,34.34944333,33.65357745,35.4589137,35.54731434,35.90842051,36.34307436,36.93419096,37.1374387,38.24604209,39.91164865,40.19823247,39.94646353,39.81703959,38.51416617,38.32785991,39.11106016,41.06470956,40.1629204,40.75738758,40.99307891,39.07364565
Caribbean small states,CSS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.62909529,41.78634809,41.76606904,41.66944461,41.62778422,41.83076434,41.75513066,41.6196443,41.46803874,41.38006299,41.26592882,41.33836718,41.57528012,41.83298673,42.11155563,42.3191255,42.19398049,42.43752363,42.34371292,42.45181502,42.48213492,42.99209513,43.03026457,43.16781813,43.68258427,43.81564625,43.99840661,43.97656339,44.13388551,44.10354487,44.54320405,43.999104,44.29460873
Cuba,CUB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.75662319,33.89241385,32.74761966,32.80903721,32.99340092,33.59613255,33.80046205,33.79409849,34.23190932,34.69113474,34.94042653,35.11892949,35.48318451,35.95690929,36.75029794,37.55575626,37.99788038,38.19433168,38.39889915,38.35856209,37.76096187,37.88513841,37.98871073,37.95608541,38.15655475,38.04564942,38.03138081,38.05360235,37.89966879,37.8787915,38.08590835,37.45616869,37.66897375
Curacao,CUW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
